programid,concertnumber,eventtype,location,venue,date,time
7632,1,Festival,"Manhattan, NY",Carnegie Hall,1993-07-28,20:00
7632,2,Festival,"Manhattan, NY",Carnegie Hall,1993-07-29,20:00
7571,1,Pension Fund Benefit Concert,"Manhattan, NY",Avery Fisher Hall,1993-09-22,20:00
7572,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-09-23,20:00
7572,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-09-24,11:00
7572,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-09-28,19:30
7573,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-09-30,20:00
7573,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-01,14:00
7573,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-02,20:00
7573,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-05,19:30
7574,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-07,20:00
7574,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-08,20:00
7574,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-09,20:00
7574,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-12,19:30
7576,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-14,20:00
7576,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-15,11:00
7576,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-16,20:00
7576,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-19,19:30
10092,1,Chamber,"Manhattan, NY",New York Society for Ethical Culture,1993-10-14,17:00
7623,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1993-10-17,15:00
7623,2,Chamber,"Manhattan, NY","Caspary Auditorium, The Rockefeller University",1993-10-20,20:00
7577,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-21,20:00
7577,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-22,14:00
7577,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-23,20:00
7577,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-26,19:30
7578,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-28,20:00
7578,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-10-30,20:00
7578,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-02,19:30
7579,1,Saturday Matinee,"Manhattan, NY",Avery Fisher Hall,1993-10-30,14:00
7580,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-04,20:00
7580,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-05,20:00
7580,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-06,20:00
7580,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-09,19:30
7624,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1993-11-07,15:00
7581,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-11,20:00
7581,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-12,11:00
7581,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-13,20:00
7581,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-16,19:30
7582,1,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,1993-11-13,14:00
7583,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-18,20:00
7583,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-19,20:00
7583,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-20,20:00
7583,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-23,19:30
7584,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-24,20:00
7584,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-26,14:00
7584,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-27,20:00
7584,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-11-30,20:00
7585,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-02,20:00
7585,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-03,20:00
7585,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-04,20:00
7625,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1993-12-05,15:00
7686,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-07,19:30
7586,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-09,20:00
7586,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-11,20:00
7699,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-10,20:00
7587,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-15,20:00
7587,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-16,20:00
7587,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-17,20:00
7587,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-18,20:00
7700,1,Pre-Concert Recital,"Manhattan, NY",Avery Fisher Hall,1993-12-17,19:00
7706,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1993-12-19,19:00
7589,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-29,20:00
7589,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-30,20:00
7588,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-12-31,20:00
7591,1,Rush Hour,"Manhattan, NY",Avery Fisher Hall,1994-01-05,18:45
7590,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-06,20:00
7590,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-07,11:00
7590,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-08,20:00
7592,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-12,20:00
7592,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-13,20:00
7592,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-14,14:00
7592,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-15,20:00
7626,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1994-01-16,15:00
7626,2,Chamber,"Manhattan, NY","Caspary Auditorium, The Rockefeller University",1994-01-19,20:00
7593,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-20,20:00
7593,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-21,20:00
7593,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-22,20:00
7593,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-25,19:30
7594,1,Saturday Matinee,"Manhattan, NY",Avery Fisher Hall,1994-01-22,14:00
7595,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-27,20:00
7595,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-28,14:00
7595,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-01-29,20:00
7595,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-01,19:30
7575,1,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,1994-01-29,14:00
7596,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-03,20:00
7596,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-04,11:00
7596,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-05,20:00
7596,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-08,19:30
7597,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-10,20:00
7597,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-15,19:30
7703,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-12,20:00
7627,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1994-02-13,15:00
7719,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-17,20:00
7598,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-18,14:00
7598,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-19,20:00
7598,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-22,20:00
7599,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-24,20:00
7599,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-02-25,20:00
7599,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-01,19:30
13540,1,Runout,"Greenvale, NY",Tilles Center for the Performing Arts (Main),1994-02-26,20:00
7600,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-03,20:00
7600,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-04,11:00
7600,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-05,20:00
7600,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-08,19:30
7601,1,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,1994-03-05,14:00
7602,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-10,20:00
7602,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-11,14:00
7602,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-12,20:00
7604,1,Pension Fund Benefit Concert,"Manhattan, NY",Avery Fisher Hall,1994-03-16,20:00
7603,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-17,20:00
7603,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-18,11:00
7603,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-19,20:00
7603,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-21,20:00
7605,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-23,20:00
7605,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-24,20:00
7605,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-25,20:00
7606,1,Rush Hour,"Manhattan, NY",Avery Fisher Hall,1994-03-29,18:45
7607,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-03-31,20:00
7607,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-01,20:00
7607,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-02,20:00
7607,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-04,20:00
7608,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-06,20:00
7608,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-07,20:00
7608,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-08,20:00
13539,1,Runout,"Greenvale, NY",None,1994-04-09,20:00
7609,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-21,20:00
7609,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-22,20:00
7609,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-23,20:00
7609,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-26,19:30
7610,1,Saturday Matinee,"Manhattan, NY",Avery Fisher Hall,1994-04-23,14:00
7611,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-28,20:00
7611,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-29,20:00
7611,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-04-30,20:00
7611,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-03,19:30
7628,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1994-05-01,15:00
7612,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-05,20:00
7612,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-06,14:00
7612,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-07,20:00
7613,1,Rush Hour,"Manhattan, NY",Avery Fisher Hall,1994-05-10,18:45
7614,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-12,20:00
7614,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-13,11:00
7614,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-14,20:00
7614,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-17,20:00
7615,1,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,1994-05-14,14:00
7616,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-19,20:00
7616,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-20,14:00
7616,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-21,20:00
7616,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-24,19:30
7720,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1994-05-23,20:00
7723,1,Chamber,"Manhattan, NY",Avery Fisher Hall,1994-05-25,21:00
7617,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-26,20:00
7617,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-27,20:00
7617,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-28,20:00
7617,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-05-31,20:00
7685,1,St. John the Divine,"Manhattan, NY",The Cathedral Church of Saint John the Divine,1994-05-30,20:00
7618,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-06-02,20:00
7619,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-06-03,14:00
7620,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-06-04,20:00
7721,1,Tour - Chamber,"Seoul, KOREA",Shilla Hotel,1994-06-15,19:00
7732,1,Tour,"Seoul, KOREA",Sejong Center for the Performing Arts,1994-06-16,19:30
13258,1,Tour,"Seoul, KOREA",Sejong Center for the Performing Arts,1994-06-17,19:30
13261,1,Tour,"Hong Kong, CHINA",Hong Kong Cultural Centre (Concert Hall),1994-06-19,20:00
7735,1,Tour,"Taipei, TAIWAN",National Concert Hall,1994-06-20,20:00
7734,1,Tour,"Taipei, TAIWAN",National Concert Hall,1994-06-21,19:30
13259,1,Tour,"Osaka, JAPAN",Symphony Hall,1994-06-24,19:00
13262,1,Tour,"Okayama, JAPAN",Symphony Hall,1994-06-25,18:30
13260,1,Tour,"Nagoya, JAPAN",Concert Hall (Aichi),1994-06-26,18:00
13263,1,Tour,"Tokyo, JAPAN",Suntory Hall,1994-06-27,19:00
7733,1,Tour,"Miyazaki, JAPAN",Prefectural Arts Center,1994-06-30,19:00
7708,1,Tour,"Tokyo, JAPAN",Suntory Hall,1994-07-01,19:00
7708,2,Tour,"Tokyo, JAPAN",Suntory Hall,1994-07-03,18:00
7709,1,Tour,"Chiba, JAPAN",Bunka Kaikan (Chiba-ken),1994-07-02,18:30
7707,1,Tour,"Tokyo, JAPAN",Suntory Hall,1994-07-04,19:00
7701,1,Festival,"Manhattan, NY",Carnegie Hall,1994-07-20,20:00
7724,1,Festival,"Manhattan, NY",Carnegie Hall,1994-07-21,20:00
7702,1,Festival,"Manhattan, NY",Carnegie Hall,1994-07-27,20:00
7702,2,Festival,"Manhattan, NY",Carnegie Hall,1994-07-28,20:00
7717,1,Parks,"Manhattan, NY",Great Lawn,1994-08-01,20:00
7717,2,Parks,"East Islip, NY",Heckscher State Park,1994-08-06,20:00
7717,3,Parks,"Queens, NY",Cunningham Park,1994-08-07,20:00
7737,1,Parks,"Staten Island, NY",Great Kills Park,1994-08-02,20:00
7738,1,Parks,"Manhattan, NY",Great Lawn,1994-08-08,20:00
7738,2,Parks,"Valhalla, NY",Westchester Community College,1994-08-12,20:00
7718,1,Parks,"Brooklyn, NY",Prospect Park,1994-08-11,20:00
7650,1,Pension Fund Benefit Concert,"Manhattan, NY",Avery Fisher Hall,1994-09-21,19:30
7651,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-09-22,00:00
7651,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-09-23,11:00
7651,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-09-24,00:00
7651,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-09-27,19:30
7652,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-09-29,00:00
7652,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-09-30,14:00
7652,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-10-01,00:00
7652,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-10-04,19:30
7653,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-10-06,00:00
7653,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-10-07,20:00
7653,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1994-10-08,00:00
7687,1,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,1994-10-08,14:00
